,Kód kraja,Názov kraja,Kód okresu,Názov okresu,Súčasná ekonomická aktivita,Pohlavie,Vek,abs.
5713,2,Trnavský kraj,206,Okres Skalica,pracujúci (okrem dôchodcov),muži,20-24,944.0
5714,2,Trnavský kraj,206,Okres Skalica,pracujúci (okrem dôchodcov),muži,25-29,1393.0
5715,2,Trnavský kraj,206,Okres Skalica,pracujúci (okrem dôchodcov),muži,30-34,1732.0
5716,2,Trnavský kraj,206,Okres Skalica,pracujúci (okrem dôchodcov),muži,35-39,1698.0
5717,2,Trnavský kraj,206,Okres Skalica,pracujúci (okrem dôchodcov),muži,40-44,1325.0
5718,2,Trnavský kraj,206,Okres Skalica,pracujúci (okrem dôchodcov),muži,45-49,1301.0
5719,2,Trnavský kraj,206,Okres Skalica,pracujúci (okrem dôchodcov),muži,50-54,1217.0
5720,2,Trnavský kraj,206,Okres Skalica,pracujúci (okrem dôchodcov),muži,55-59,1124.0
5721,2,Trnavský kraj,206,Okres Skalica,pracujúci (okrem dôchodcov),muži,60-64,199.0
5722,2,Trnavský kraj,206,Okres Skalica,pracujúci (okrem dôchodcov),muži,65-69,11.0
5723,2,Trnavský kraj,206,Okres Skalica,pracujúci (okrem dôchodcov),muži,70-74,8.0
5724,2,Trnavský kraj,206,Okres Skalica,pracujúci (okrem dôchodcov),muži,75-79,0.0
5725,2,Trnavský kraj,206,Okres Skalica,pracujúci (okrem dôchodcov),muži,80-84,1.0
5726,2,Trnavský kraj,206,Okres Skalica,pracujúci (okrem dôchodcov),muži,85-89,0.0
5727,2,Trnavský kraj,206,Okres Skalica,pracujúci (okrem dôchodcov),muži,90-94,0.0
5728,2,Trnavský kraj,206,Okres Skalica,pracujúci (okrem dôchodcov),muži,95-99,0.0
5729,2,Trnavský kraj,206,Okres Skalica,pracujúci (okrem dôchodcov),muži,nezistený,1.0
5732,2,Trnavský kraj,206,Okres Skalica,pracujúci (okrem dôchodcov),ženy,15-19,31.0
5733,2,Trnavský kraj,206,Okres Skalica,pracujúci (okrem dôchodcov),ženy,20-24,607.0
5734,2,Trnavský kraj,206,Okres Skalica,pracujúci (okrem dôchodcov),ženy,25-29,1051.0
5735,2,Trnavský kraj,206,Okres Skalica,pracujúci (okrem dôchodcov),ženy,30-34,1219.0
5736,2,Trnavský kraj,206,Okres Skalica,pracujúci (okrem dôchodcov),ženy,35-39,1363.0
5737,2,Trnavský kraj,206,Okres Skalica,pracujúci (okrem dôchodcov),ženy,40-44,1252.0
5738,2,Trnavský kraj,206,Okres Skalica,pracujúci (okrem dôchodcov),ženy,45-49,1301.0
5739,2,Trnavský kraj,206,Okres Skalica,pracujúci (okrem dôchodcov),ženy,50-54,1205.0
5740,2,Trnavský kraj,206,Okres Skalica,pracujúci (okrem dôchodcov),ženy,55-59,675.0
5741,2,Trnavský kraj,206,Okres Skalica,pracujúci (okrem dôchodcov),ženy,60-64,19.0
5742,2,Trnavský kraj,206,Okres Skalica,pracujúci (okrem dôchodcov),ženy,65-69,7.0
5743,2,Trnavský kraj,206,Okres Skalica,pracujúci (okrem dôchodcov),ženy,70-74,4.0
5744,2,Trnavský kraj,206,Okres Skalica,pracujúci (okrem dôchodcov),ženy,75-79,1.0
5745,2,Trnavský kraj,206,Okres Skalica,pracujúci (okrem dôchodcov),ženy,80-84,0.0
5746,2,Trnavský kraj,206,Okres Skalica,pracujúci (okrem dôchodcov),ženy,85-89,0.0
5747,2,Trnavský kraj,206,Okres Skalica,pracujúci (okrem dôchodcov),ženy,90-94,0.0
5748,2,Trnavský kraj,206,Okres Skalica,pracujúci (okrem dôchodcov),ženy,95-99,0.0
5749,2,Trnavský kraj,206,Okres Skalica,pracujúci (okrem dôchodcov),ženy,nezistený,1.0
5751,2,Trnavský kraj,206,Okres Skalica,pracujúci dôchodcovia,muži,15-19,0.0
5752,2,Trnavský kraj,206,Okres Skalica,pracujúci dôchodcovia,muži,20-24,0.0
5753,2,Trnavský kraj,206,Okres Skalica,pracujúci dôchodcovia,muži,25-29,2.0
5754,2,Trnavský kraj,206,Okres Skalica,pracujúci dôchodcovia,muži,30-34,9.0
5755,2,Trnavský kraj,206,Okres Skalica,pracujúci dôchodcovia,muži,35-39,15.0
5756,2,Trnavský kraj,206,Okres Skalica,pracujúci dôchodcovia,muži,40-44,19.0
5757,2,Trnavský kraj,206,Okres Skalica,pracujúci dôchodcovia,muži,45-49,15.0
5758,2,Trnavský kraj,206,Okres Skalica,pracujúci dôchodcovia,muži,50-54,25.0
5759,2,Trnavský kraj,206,Okres Skalica,pracujúci dôchodcovia,muži,55-59,45.0
5760,2,Trnavský kraj,206,Okres Skalica,pracujúci dôchodcovia,muži,60-64,131.0
5761,2,Trnavský kraj,206,Okres Skalica,pracujúci dôchodcovia,muži,65-69,48.0
5762,2,Trnavský kraj,206,Okres Skalica,pracujúci dôchodcovia,muži,70-74,18.0
5763,2,Trnavský kraj,206,Okres Skalica,pracujúci dôchodcovia,muži,75-79,5.0
5764,2,Trnavský kraj,206,Okres Skalica,pracujúci dôchodcovia,muži,80-84,5.0
5765,2,Trnavský kraj,206,Okres Skalica,pracujúci dôchodcovia,muži,85-89,0.0
5766,2,Trnavský kraj,206,Okres Skalica,pracujúci dôchodcovia,muži,90-94,0.0
5767,2,Trnavský kraj,206,Okres Skalica,pracujúci dôchodcovia,muži,95-99,0.0
5768,2,Trnavský kraj,206,Okres Skalica,pracujúci dôchodcovia,muži,nezistený,0.0
5771,2,Trnavský kraj,206,Okres Skalica,pracujúci dôchodcovia,ženy,15-19,2.0
5772,2,Trnavský kraj,206,Okres Skalica,pracujúci dôchodcovia,ženy,20-24,1.0
5773,2,Trnavský kraj,206,Okres Skalica,pracujúci dôchodcovia,ženy,25-29,2.0
5774,2,Trnavský kraj,206,Okres Skalica,pracujúci dôchodcovia,ženy,30-34,8.0
5775,2,Trnavský kraj,206,Okres Skalica,pracujúci dôchodcovia,ženy,35-39,8.0
5776,2,Trnavský kraj,206,Okres Skalica,pracujúci dôchodcovia,ženy,40-44,9.0
5777,2,Trnavský kraj,206,Okres Skalica,pracujúci dôchodcovia,ženy,45-49,13.0
5778,2,Trnavský kraj,206,Okres Skalica,pracujúci dôchodcovia,ženy,50-54,30.0
5779,2,Trnavský kraj,206,Okres Skalica,pracujúci dôchodcovia,ženy,55-59,133.0
5780,2,Trnavský kraj,206,Okres Skalica,pracujúci dôchodcovia,ženy,60-64,135.0
5781,2,Trnavský kraj,206,Okres Skalica,pracujúci dôchodcovia,ženy,65-69,35.0
5782,2,Trnavský kraj,206,Okres Skalica,pracujúci dôchodcovia,ženy,70-74,15.0
5783,2,Trnavský kraj,206,Okres Skalica,pracujúci dôchodcovia,ženy,75-79,5.0
5784,2,Trnavský kraj,206,Okres Skalica,pracujúci dôchodcovia,ženy,80-84,8.0
5785,2,Trnavský kraj,206,Okres Skalica,pracujúci dôchodcovia,ženy,85-89,0.0
5786,2,Trnavský kraj,206,Okres Skalica,pracujúci dôchodcovia,ženy,90-94,0.0
5787,2,Trnavský kraj,206,Okres Skalica,pracujúci dôchodcovia,ženy,95-99,0.0
5788,2,Trnavský kraj,206,Okres Skalica,pracujúci dôchodcovia,ženy,nezistený,0.0
5790,2,Trnavský kraj,206,Okres Skalica,príjemcovia kapitálových príjmov,muži,15-19,0.0
5791,2,Trnavský kraj,206,Okres Skalica,príjemcovia kapitálových príjmov,muži,20-24,2.0
5792,2,Trnavský kraj,206,Okres Skalica,príjemcovia kapitálových príjmov,muži,25-29,2.0
5793,2,Trnavský kraj,206,Okres Skalica,príjemcovia kapitálových príjmov,muži,30-34,4.0
5794,2,Trnavský kraj,206,Okres Skalica,príjemcovia kapitálových príjmov,muži,35-39,6.0
5795,2,Trnavský kraj,206,Okres Skalica,príjemcovia kapitálových príjmov,muži,40-44,3.0
5796,2,Trnavský kraj,206,Okres Skalica,príjemcovia kapitálových príjmov,muži,45-49,3.0
5797,2,Trnavský kraj,206,Okres Skalica,príjemcovia kapitálových príjmov,muži,50-54,3.0
5798,2,Trnavský kraj,206,Okres Skalica,príjemcovia kapitálových príjmov,muži,55-59,3.0
5799,2,Trnavský kraj,206,Okres Skalica,príjemcovia kapitálových príjmov,muži,60-64,1.0
5800,2,Trnavský kraj,206,Okres Skalica,príjemcovia kapitálových príjmov,muži,65-69,0.0
5801,2,Trnavský kraj,206,Okres Skalica,príjemcovia kapitálových príjmov,muži,70-74,0.0
5802,2,Trnavský kraj,206,Okres Skalica,príjemcovia kapitálových príjmov,muži,75-79,0.0
5803,2,Trnavský kraj,206,Okres Skalica,príjemcovia kapitálových príjmov,muži,80-84,0.0
5804,2,Trnavský kraj,206,Okres Skalica,príjemcovia kapitálových príjmov,muži,85-89,0.0
5805,2,Trnavský kraj,206,Okres Skalica,príjemcovia kapitálových príjmov,muži,90-94,0.0
5806,2,Trnavský kraj,206,Okres Skalica,príjemcovia kapitálových príjmov,muži,95-99,0.0
5807,2,Trnavský kraj,206,Okres Skalica,príjemcovia kapitálových príjmov,muži,nezistený,0.0
5810,2,Trnavský kraj,206,Okres Skalica,príjemcovia kapitálových príjmov,ženy,105+,0.0
5811,2,Trnavský kraj,206,Okres Skalica,príjemcovia kapitálových príjmov,ženy,15-19,1.0
5812,2,Trnavský kraj,206,Okres Skalica,príjemcovia kapitálových príjmov,ženy,20-24,0.0
5813,2,Trnavský kraj,206,Okres Skalica,príjemcovia kapitálových príjmov,ženy,25-29,1.0
5814,2,Trnavský kraj,206,Okres Skalica,príjemcovia kapitálových príjmov,ženy,30-34,4.0
5815,2,Trnavský kraj,206,Okres Skalica,príjemcovia kapitálových príjmov,ženy,35-39,1.0
5816,2,Trnavský kraj,206,Okres Skalica,príjemcovia kapitálových príjmov,ženy,40-44,1.0
5817,2,Trnavský kraj,206,Okres Skalica,príjemcovia kapitálových príjmov,ženy,45-49,2.0
5818,2,Trnavský kraj,206,Okres Skalica,príjemcovia kapitálových príjmov,ženy,50-54,0.0
5819,2,Trnavský kraj,206,Okres Skalica,príjemcovia kapitálových príjmov,ženy,55-59,2.0
5820,2,Trnavský kraj,206,Okres Skalica,príjemcovia kapitálových príjmov,ženy,60-64,0.0
5821,2,Trnavský kraj,206,Okres Skalica,príjemcovia kapitálových príjmov,ženy,65-69,0.0
5822,2,Trnavský kraj,206,Okres Skalica,príjemcovia kapitálových príjmov,ženy,70-74,1.0
5823,2,Trnavský kraj,206,Okres Skalica,príjemcovia kapitálových príjmov,ženy,75-79,0.0
5824,2,Trnavský kraj,206,Okres Skalica,príjemcovia kapitálových príjmov,ženy,80-84,0.0
5825,2,Trnavský kraj,206,Okres Skalica,príjemcovia kapitálových príjmov,ženy,85-89,0.0
5826,2,Trnavský kraj,206,Okres Skalica,príjemcovia kapitálových príjmov,ženy,95-99,0.0
5828,2,Trnavský kraj,206,Okres Skalica,študenti stredných škôl,muži,15-19,962.0
5829,2,Trnavský kraj,206,Okres Skalica,študenti stredných škôl,muži,20-24,74.0
5830,2,Trnavský kraj,206,Okres Skalica,študenti stredných škôl,muži,25-29,0.0
5831,2,Trnavský kraj,206,Okres Skalica,študenti stredných škôl,muži,30-34,0.0
5832,2,Trnavský kraj,206,Okres Skalica,študenti stredných škôl,muži,nezistený,0.0
5835,2,Trnavský kraj,206,Okres Skalica,študenti stredných škôl,ženy,15-19,920.0
5836,2,Trnavský kraj,206,Okres Skalica,študenti stredných škôl,ženy,20-24,37.0
5837,2,Trnavský kraj,206,Okres Skalica,študenti stredných škôl,ženy,25-29,0.0
5838,2,Trnavský kraj,206,Okres Skalica,študenti stredných škôl,ženy,30-34,0.0
5839,2,Trnavský kraj,206,Okres Skalica,študenti stredných škôl,ženy,nezistený,0.0
5841,2,Trnavský kraj,206,Okres Skalica,študenti vysokých  škôl,muži,15-19,28.0
5842,2,Trnavský kraj,206,Okres Skalica,študenti vysokých  škôl,muži,20-24,389.0
5843,2,Trnavský kraj,206,Okres Skalica,študenti vysokých  škôl,muži,25-29,53.0
5844,2,Trnavský kraj,206,Okres Skalica,študenti vysokých  škôl,muži,30-34,8.0
5845,2,Trnavský kraj,206,Okres Skalica,študenti vysokých  škôl,muži,35-39,0.0
5846,2,Trnavský kraj,206,Okres Skalica,študenti vysokých  škôl,muži,40-44,0.0
5847,2,Trnavský kraj,206,Okres Skalica,študenti vysokých  škôl,muži,45-49,1.0
5848,2,Trnavský kraj,206,Okres Skalica,študenti vysokých  škôl,muži,50-54,0.0
5849,2,Trnavský kraj,206,Okres Skalica,študenti vysokých  škôl,muži,55-59,0.0
5850,2,Trnavský kraj,206,Okres Skalica,študenti vysokých  škôl,muži,60-64,0.0
5851,2,Trnavský kraj,206,Okres Skalica,študenti vysokých  škôl,muži,65-69,0.0
5852,2,Trnavský kraj,206,Okres Skalica,študenti vysokých  škôl,muži,70-74,0.0
5853,2,Trnavský kraj,206,Okres Skalica,študenti vysokých  škôl,muži,75-79,0.0
5854,2,Trnavský kraj,206,Okres Skalica,študenti vysokých  škôl,muži,80-84,0.0
5855,2,Trnavský kraj,206,Okres Skalica,študenti vysokých  škôl,muži,85-89,0.0
5856,2,Trnavský kraj,206,Okres Skalica,študenti vysokých  škôl,muži,90-94,0.0
5857,2,Trnavský kraj,206,Okres Skalica,študenti vysokých  škôl,muži,95-99,0.0
5858,2,Trnavský kraj,206,Okres Skalica,študenti vysokých  škôl,muži,nezistený,0.0
5861,2,Trnavský kraj,206,Okres Skalica,študenti vysokých  škôl,ženy,15-19,52.0
5862,2,Trnavský kraj,206,Okres Skalica,študenti vysokých  škôl,ženy,20-24,563.0
5863,2,Trnavský kraj,206,Okres Skalica,študenti vysokých  škôl,ženy,25-29,55.0
5864,2,Trnavský kraj,206,Okres Skalica,študenti vysokých  škôl,ženy,30-34,9.0
5865,2,Trnavský kraj,206,Okres Skalica,študenti vysokých  škôl,ženy,35-39,4.0
5866,2,Trnavský kraj,206,Okres Skalica,študenti vysokých  škôl,ženy,40-44,0.0
5867,2,Trnavský kraj,206,Okres Skalica,študenti vysokých  škôl,ženy,45-49,0.0
5868,2,Trnavský kraj,206,Okres Skalica,študenti vysokých  škôl,ženy,50-54,0.0
5869,2,Trnavský kraj,206,Okres Skalica,študenti vysokých  škôl,ženy,55-59,0.0
5870,2,Trnavský kraj,206,Okres Skalica,študenti vysokých  škôl,ženy,60-64,0.0
5871,2,Trnavský kraj,206,Okres Skalica,študenti vysokých  škôl,ženy,65-69,0.0
5872,2,Trnavský kraj,206,Okres Skalica,študenti vysokých  škôl,ženy,70-74,0.0
5873,2,Trnavský kraj,206,Okres Skalica,študenti vysokých  škôl,ženy,75-79,0.0
5874,2,Trnavský kraj,206,Okres Skalica,študenti vysokých  škôl,ženy,80-84,1.0
5875,2,Trnavský kraj,206,Okres Skalica,študenti vysokých  škôl,ženy,85-89,0.0
5876,2,Trnavský kraj,206,Okres Skalica,študenti vysokých  škôl,ženy,90-94,0.0
5877,2,Trnavský kraj,206,Okres Skalica,študenti vysokých  škôl,ženy,95-99,0.0
5878,2,Trnavský kraj,206,Okres Skalica,študenti vysokých  škôl,ženy,nezistený,0.0
5881,2,Trnavský kraj,207,Okres Trnava,deti do 16 rokov (nar. po 20.05.1995),muži,0-4,3098.0
5882,2,Trnavský kraj,207,Okres Trnava,deti do 16 rokov (nar. po 20.05.1995),muži,10-14,2950.0
5883,2,Trnavský kraj,207,Okres Trnava,deti do 16 rokov (nar. po 20.05.1995),muži,15-19,660.0
5884,2,Trnavský kraj,207,Okres Trnava,deti do 16 rokov (nar. po 20.05.1995),muži,5-9,2953.0
5885,2,Trnavský kraj,207,Okres Trnava,deti do 16 rokov (nar. po 20.05.1995),muži,nezistený,4.0
5888,2,Trnavský kraj,207,Okres Trnava,deti do 16 rokov (nar. po 20.05.1995),ženy,0-4,3042.0
5889,2,Trnavský kraj,207,Okres Trnava,deti do 16 rokov (nar. po 20.05.1995),ženy,10-14,2835.0
5890,2,Trnavský kraj,207,Okres Trnava,deti do 16 rokov (nar. po 20.05.1995),ženy,15-19,633.0
5891,2,Trnavský kraj,207,Okres Trnava,deti do 16 rokov (nar. po 20.05.1995),ženy,5-9,2695.0
5892,2,Trnavský kraj,207,Okres Trnava,deti do 16 rokov (nar. po 20.05.1995),ženy,nezistený,2.0
5894,2,Trnavský kraj,207,Okres Trnava,dôchodcovia,muži,100-104,1.0
5895,2,Trnavský kraj,207,Okres Trnava,dôchodcovia,muži,105+,0.0
5896,2,Trnavský kraj,207,Okres Trnava,dôchodcovia,muži,15-19,8.0
5897,2,Trnavský kraj,207,Okres Trnava,dôchodcovia,muži,20-24,36.0
5898,2,Trnavský kraj,207,Okres Trnava,dôchodcovia,muži,25-29,54.0
5899,2,Trnavský kraj,207,Okres Trnava,dôchodcovia,muži,30-34,81.0
5900,2,Trnavský kraj,207,Okres Trnava,dôchodcovia,muži,35-39,111.0
5901,2,Trnavský kraj,207,Okres Trnava,dôchodcovia,muži,40-44,130.0
5902,2,Trnavský kraj,207,Okres Trnava,dôchodcovia,muži,45-49,194.0
5903,2,Trnavský kraj,207,Okres Trnava,dôchodcovia,muži,50-54,349.0
5904,2,Trnavský kraj,207,Okres Trnava,dôchodcovia,muži,55-59,613.0
5905,2,Trnavský kraj,207,Okres Trnava,dôchodcovia,muži,60-64,2413.0
5906,2,Trnavský kraj,207,Okres Trnava,dôchodcovia,muži,65-69,2035.0
5907,2,Trnavský kraj,207,Okres Trnava,dôchodcovia,muži,70-74,1529.0
5908,2,Trnavský kraj,207,Okres Trnava,dôchodcovia,muži,75-79,1103.0
5909,2,Trnavský kraj,207,Okres Trnava,dôchodcovia,muži,80-84,669.0
5910,2,Trnavský kraj,207,Okres Trnava,dôchodcovia,muži,85-89,275.0
5911,2,Trnavský kraj,207,Okres Trnava,dôchodcovia,muži,90-94,74.0
5912,2,Trnavský kraj,207,Okres Trnava,dôchodcovia,muži,95-99,11.0
5913,2,Trnavský kraj,207,Okres Trnava,dôchodcovia,muži,nezistený,0.0
5916,2,Trnavský kraj,207,Okres Trnava,dôchodcovia,ženy,100-104,1.0
5917,2,Trnavský kraj,207,Okres Trnava,dôchodcovia,ženy,105+,0.0
5918,2,Trnavský kraj,207,Okres Trnava,dôchodcovia,ženy,15-19,9.0
5919,2,Trnavský kraj,207,Okres Trnava,dôchodcovia,ženy,20-24,24.0
5920,2,Trnavský kraj,207,Okres Trnava,dôchodcovia,ženy,25-29,44.0
5921,2,Trnavský kraj,207,Okres Trnava,dôchodcovia,ženy,30-34,55.0
5922,2,Trnavský kraj,207,Okres Trnava,dôchodcovia,ženy,35-39,74.0
5923,2,Trnavský kraj,207,Okres Trnava,dôchodcovia,ženy,40-44,100.0
5924,2,Trnavský kraj,207,Okres Trnava,dôchodcovia,ženy,45-49,149.0
5925,2,Trnavský kraj,207,Okres Trnava,dôchodcovia,ženy,50-54,327.0
5926,2,Trnavský kraj,207,Okres Trnava,dôchodcovia,ženy,55-59,1735.0
5927,2,Trnavský kraj,207,Okres Trnava,dôchodcovia,ženy,60-64,3492.0
5928,2,Trnavský kraj,207,Okres Trnava,dôchodcovia,ženy,65-69,2885.0
5929,2,Trnavský kraj,207,Okres Trnava,dôchodcovia,ženy,70-74,2400.0
5930,2,Trnavský kraj,207,Okres Trnava,dôchodcovia,ženy,75-79,1972.0
5931,2,Trnavský kraj,207,Okres Trnava,dôchodcovia,ženy,80-84,1442.0
5932,2,Trnavský kraj,207,Okres Trnava,dôchodcovia,ženy,85-89,833.0
5933,2,Trnavský kraj,207,Okres Trnava,dôchodcovia,ženy,90-94,139.0
5934,2,Trnavský kraj,207,Okres Trnava,dôchodcovia,ženy,95-99,32.0
5935,2,Trnavský kraj,207,Okres Trnava,dôchodcovia,ženy,nezistený,1.0
5937,2,Trnavský kraj,207,Okres Trnava,iné,muži,100-104,0.0
5938,2,Trnavský kraj,207,Okres Trnava,iné,muži,15-19,59.0
5939,2,Trnavský kraj,207,Okres Trnava,iné,muži,20-24,73.0
5940,2,Trnavský kraj,207,Okres Trnava,iné,muži,25-29,47.0
5941,2,Trnavský kraj,207,Okres Trnava,iné,muži,30-34,29.0
5942,2,Trnavský kraj,207,Okres Trnava,iné,muži,35-39,19.0
5943,2,Trnavský kraj,207,Okres Trnava,iné,muži,40-44,15.0
5944,2,Trnavský kraj,207,Okres Trnava,iné,muži,45-49,15.0
5945,2,Trnavský kraj,207,Okres Trnava,iné,muži,50-54,20.0
5946,2,Trnavský kraj,207,Okres Trnava,iné,muži,55-59,20.0
5947,2,Trnavský kraj,207,Okres Trnava,iné,muži,60-64,9.0
5948,2,Trnavský kraj,207,Okres Trnava,iné,muži,65-69,0.0
5949,2,Trnavský kraj,207,Okres Trnava,iné,muži,70-74,0.0
5950,2,Trnavský kraj,207,Okres Trnava,iné,muži,75-79,0.0
5951,2,Trnavský kraj,207,Okres Trnava,iné,muži,80-84,0.0
5952,2,Trnavský kraj,207,Okres Trnava,iné,muži,85-89,0.0
5953,2,Trnavský kraj,207,Okres Trnava,iné,muži,90-94,1.0
5954,2,Trnavský kraj,207,Okres Trnava,iné,muži,95-99,0.0
5955,2,Trnavský kraj,207,Okres Trnava,iné,muži,nezistený,0.0
5958,2,Trnavský kraj,207,Okres Trnava,iné,ženy,100-104,0.0
5959,2,Trnavský kraj,207,Okres Trnava,iné,ženy,15-19,34.0
5960,2,Trnavský kraj,207,Okres Trnava,iné,ženy,20-24,64.0
5961,2,Trnavský kraj,207,Okres Trnava,iné,ženy,25-29,31.0
5962,2,Trnavský kraj,207,Okres Trnava,iné,ženy,30-34,26.0
5963,2,Trnavský kraj,207,Okres Trnava,iné,ženy,35-39,33.0
5964,2,Trnavský kraj,207,Okres Trnava,iné,ženy,40-44,35.0
5965,2,Trnavský kraj,207,Okres Trnava,iné,ženy,45-49,46.0
5966,2,Trnavský kraj,207,Okres Trnava,iné,ženy,50-54,37.0
5967,2,Trnavský kraj,207,Okres Trnava,iné,ženy,55-59,34.0
5968,2,Trnavský kraj,207,Okres Trnava,iné,ženy,60-64,3.0
5969,2,Trnavský kraj,207,Okres Trnava,iné,ženy,65-69,0.0
5970,2,Trnavský kraj,207,Okres Trnava,iné,ženy,70-74,0.0
5971,2,Trnavský kraj,207,Okres Trnava,iné,ženy,75-79,1.0
5972,2,Trnavský kraj,207,Okres Trnava,iné,ženy,80-84,0.0
5973,2,Trnavský kraj,207,Okres Trnava,iné,ženy,85-89,1.0
5974,2,Trnavský kraj,207,Okres Trnava,iné,ženy,90-94,0.0
5975,2,Trnavský kraj,207,Okres Trnava,iné,ženy,95-99,0.0
5976,2,Trnavský kraj,207,Okres Trnava,iné,ženy,nezistený,0.0
5978,2,Trnavský kraj,207,Okres Trnava,nezamestnaní,muži,15-19,111.0
5979,2,Trnavský kraj,207,Okres Trnava,nezamestnaní,muži,20-24,570.0
5980,2,Trnavský kraj,207,Okres Trnava,nezamestnaní,muži,25-29,439.0
5981,2,Trnavský kraj,207,Okres Trnava,nezamestnaní,muži,30-34,401.0
5982,2,Trnavský kraj,207,Okres Trnava,nezamestnaní,muži,35-39,335.0
5983,2,Trnavský kraj,207,Okres Trnava,nezamestnaní,muži,40-44,290.0
5984,2,Trnavský kraj,207,Okres Trnava,nezamestnaní,muži,45-49,328.0
5985,2,Trnavský kraj,207,Okres Trnava,nezamestnaní,muži,50-54,352.0
5986,2,Trnavský kraj,207,Okres Trnava,nezamestnaní,muži,55-59,368.0
5987,2,Trnavský kraj,207,Okres Trnava,nezamestnaní,muži,60-64,61.0
5988,2,Trnavský kraj,207,Okres Trnava,nezamestnaní,muži,nezistený,2.0
5991,2,Trnavský kraj,207,Okres Trnava,nezamestnaní,ženy,15-19,77.0
5992,2,Trnavský kraj,207,Okres Trnava,nezamestnaní,ženy,20-24,497.0
5993,2,Trnavský kraj,207,Okres Trnava,nezamestnaní,ženy,25-29,375.0
5994,2,Trnavský kraj,207,Okres Trnava,nezamestnaní,ženy,30-34,377.0
5995,2,Trnavský kraj,207,Okres Trnava,nezamestnaní,ženy,35-39,331.0
5996,2,Trnavský kraj,207,Okres Trnava,nezamestnaní,ženy,40-44,274.0
5997,2,Trnavský kraj,207,Okres Trnava,nezamestnaní,ženy,45-49,342.0
5998,2,Trnavský kraj,207,Okres Trnava,nezamestnaní,ženy,50-54,366.0
5999,2,Trnavský kraj,207,Okres Trnava,nezamestnaní,ženy,55-59,237.0
6000,2,Trnavský kraj,207,Okres Trnava,nezamestnaní,ženy,60-64,8.0
6001,2,Trnavský kraj,207,Okres Trnava,nezamestnaní,ženy,nezistený,1.0
6003,2,Trnavský kraj,207,Okres Trnava,nezistená,muži,100-104,2.0
6004,2,Trnavský kraj,207,Okres Trnava,nezistená,muži,105+,0.0
6005,2,Trnavský kraj,207,Okres Trnava,nezistená,muži,15-19,309.0
6006,2,Trnavský kraj,207,Okres Trnava,nezistená,muži,20-24,500.0
6007,2,Trnavský kraj,207,Okres Trnava,nezistená,muži,25-29,545.0
6008,2,Trnavský kraj,207,Okres Trnava,nezistená,muži,30-34,569.0
6009,2,Trnavský kraj,207,Okres Trnava,nezistená,muži,35-39,545.0
6010,2,Trnavský kraj,207,Okres Trnava,nezistená,muži,40-44,384.0
6011,2,Trnavský kraj,207,Okres Trnava,nezistená,muži,45-49,356.0
6012,2,Trnavský kraj,207,Okres Trnava,nezistená,muži,50-54,334.0
6013,2,Trnavský kraj,207,Okres Trnava,nezistená,muži,55-59,266.0
6014,2,Trnavský kraj,207,Okres Trnava,nezistená,muži,60-64,144.0
6015,2,Trnavský kraj,207,Okres Trnava,nezistená,muži,65-69,81.0
6016,2,Trnavský kraj,207,Okres Trnava,nezistená,muži,70-74,39.0
6017,2,Trnavský kraj,207,Okres Trnava,nezistená,muži,75-79,26.0
6018,2,Trnavský kraj,207,Okres Trnava,nezistená,muži,80-84,16.0
6019,2,Trnavský kraj,207,Okres Trnava,nezistená,muži,85-89,14.0
6020,2,Trnavský kraj,207,Okres Trnava,nezistená,muži,90-94,6.0
6021,2,Trnavský kraj,207,Okres Trnava,nezistená,muži,95-99,4.0
6022,2,Trnavský kraj,207,Okres Trnava,nezistená,muži,nezistený,11.0
6025,2,Trnavský kraj,207,Okres Trnava,nezistená,ženy,100-104,1.0
6026,2,Trnavský kraj,207,Okres Trnava,nezistená,ženy,105+,0.0
6027,2,Trnavský kraj,207,Okres Trnava,nezistená,ženy,15-19,281.0
6028,2,Trnavský kraj,207,Okres Trnava,nezistená,ženy,20-24,425.0
6029,2,Trnavský kraj,207,Okres Trnava,nezistená,ženy,25-29,465.0
6030,2,Trnavský kraj,207,Okres Trnava,nezistená,ženy,30-34,448.0
6031,2,Trnavský kraj,207,Okres Trnava,nezistená,ženy,35-39,368.0
6032,2,Trnavský kraj,207,Okres Trnava,nezistená,ženy,40-44,273.0
6033,2,Trnavský kraj,207,Okres Trnava,nezistená,ženy,45-49,225.0
6034,2,Trnavský kraj,207,Okres Trnava,nezistená,ženy,50-54,206.0
6035,2,Trnavský kraj,207,Okres Trnava,nezistená,ženy,55-59,204.0
6036,2,Trnavský kraj,207,Okres Trnava,nezistená,ženy,60-64,118.0
6037,2,Trnavský kraj,207,Okres Trnava,nezistená,ženy,65-69,83.0
6038,2,Trnavský kraj,207,Okres Trnava,nezistená,ženy,70-74,43.0
6039,2,Trnavský kraj,207,Okres Trnava,nezistená,ženy,75-79,45.0
6040,2,Trnavský kraj,207,Okres Trnava,nezistená,ženy,80-84,43.0
6041,2,Trnavský kraj,207,Okres Trnava,nezistená,ženy,85-89,58.0
6042,2,Trnavský kraj,207,Okres Trnava,nezistená,ženy,90-94,11.0
6043,2,Trnavský kraj,207,Okres Trnava,nezistená,ženy,95-99,7.0
6044,2,Trnavský kraj,207,Okres Trnava,nezistená,ženy,nezistený,6.0
