"Kód okresu";"Názov okresu";"Pohlavie";"Ekonomické vekové skupiny";"Súčasná ekonomická aktivita";"abs."
SK0215;Okres Senica;žena;poproduktívny vek (65 a viac rokov);dôchodca;5476
SK0216;Okres Skalica;muž;predproduktívny vek (0-14 rokov);žiak strednej školy;1
SK0216;Okres Skalica;muž;predproduktívny vek (0-14 rokov);žiak základnej školy;2089
SK0216;Okres Skalica;muž;predproduktívny vek (0-14 rokov);dieťa do začatia povinnej školskej dochádzky;1630
SK0216;Okres Skalica;muž;produktívny vek (15-64 rokov);dôverné;35
SK0216;Okres Skalica;muž;produktívny vek (15-64 rokov);nezistené;736
SK0216;Okres Skalica;muž;produktívny vek (15-64 rokov);pracujúci (okrem dôchodcov);11145
SK0216;Okres Skalica;muž;produktívny vek (15-64 rokov);pracujúci dôchodca;883
SK0216;Okres Skalica;muž;produktívny vek (15-64 rokov);osoba na materskej dovolenke;33
SK0216;Okres Skalica;muž;produktívny vek (15-64 rokov);osoba na rodičovskej dovolenke;23
SK0216;Okres Skalica;muž;produktívny vek (15-64 rokov);nezamestnaný;695
SK0216;Okres Skalica;muž;produktívny vek (15-64 rokov);žiak strednej školy;734
SK0216;Okres Skalica;muž;produktívny vek (15-64 rokov);študent vysokej školy;277
SK0216;Okres Skalica;muž;produktívny vek (15-64 rokov);osoba v domácnosti;658
SK0216;Okres Skalica;muž;produktívny vek (15-64 rokov);dôchodca;1049
SK0216;Okres Skalica;muž;produktívny vek (15-64 rokov);príjemca kapitálových príjmov;28
SK0216;Okres Skalica;muž;produktívny vek (15-64 rokov);iná;44
SK0216;Okres Skalica;muž;produktívny vek (15-64 rokov);žiak základnej školy;132
SK0216;Okres Skalica;muž;poproduktívny vek (65 a viac rokov);dôverné;3
SK0216;Okres Skalica;muž;poproduktívny vek (65 a viac rokov);pracujúci dôchodca;490
SK0216;Okres Skalica;muž;poproduktívny vek (65 a viac rokov);dôchodca;2891
SK0216;Okres Skalica;žena;predproduktívny vek (0-14 rokov);nezistené;3
SK0216;Okres Skalica;žena;predproduktívny vek (0-14 rokov);žiak strednej školy;3
SK0216;Okres Skalica;žena;predproduktívny vek (0-14 rokov);žiak základnej školy;1952
SK0216;Okres Skalica;žena;predproduktívny vek (0-14 rokov);dieťa do začatia povinnej školskej dochádzky;1511
SK0216;Okres Skalica;žena;produktívny vek (15-64 rokov);dôverné;32
SK0216;Okres Skalica;žena;produktívny vek (15-64 rokov);nezistené;421
SK0216;Okres Skalica;žena;produktívny vek (15-64 rokov);pracujúci (okrem dôchodcov);9064
SK0216;Okres Skalica;žena;produktívny vek (15-64 rokov);pracujúci dôchodca;1020
SK0216;Okres Skalica;žena;produktívny vek (15-64 rokov);osoba na materskej dovolenke;181
SK0216;Okres Skalica;žena;produktívny vek (15-64 rokov);osoba na rodičovskej dovolenke;363
SK0216;Okres Skalica;žena;produktívny vek (15-64 rokov);nezamestnaný;605
SK0216;Okres Skalica;žena;produktívny vek (15-64 rokov);žiak strednej školy;758
SK0216;Okres Skalica;žena;produktívny vek (15-64 rokov);študent vysokej školy;377
SK0216;Okres Skalica;žena;produktívny vek (15-64 rokov);osoba v domácnosti;1455
SK0216;Okres Skalica;žena;produktívny vek (15-64 rokov);dôchodca;1214
SK0216;Okres Skalica;žena;produktívny vek (15-64 rokov);príjemca kapitálových príjmov;17
SK0216;Okres Skalica;žena;produktívny vek (15-64 rokov);iná;3
SK0216;Okres Skalica;žena;produktívny vek (15-64 rokov);žiak základnej školy;101
SK0216;Okres Skalica;žena;poproduktívny vek (65 a viac rokov);pracujúci dôchodca;461
SK0216;Okres Skalica;žena;poproduktívny vek (65 a viac rokov);dôchodca;4408
SK0217;Okres Trnava;muž;predproduktívny vek (0-14 rokov);nezistené;2
SK0217;Okres Trnava;muž;predproduktívny vek (0-14 rokov);žiak základnej školy;5513
SK0217;Okres Trnava;muž;predproduktívny vek (0-14 rokov);dieťa do začatia povinnej školskej dochádzky;4887
SK0217;Okres Trnava;muž;produktívny vek (15-64 rokov);dôverné;71
SK0217;Okres Trnava;muž;produktívny vek (15-64 rokov);nezistené;1217
SK0217;Okres Trnava;muž;produktívny vek (15-64 rokov);pracujúci (okrem dôchodcov);31210
SK0217;Okres Trnava;muž;produktívny vek (15-64 rokov);pracujúci dôchodca;2321
SK0217;Okres Trnava;muž;produktívny vek (15-64 rokov);osoba na materskej dovolenke;81
SK0217;Okres Trnava;muž;produktívny vek (15-64 rokov);osoba na rodičovskej dovolenke;83
SK0217;Okres Trnava;muž;produktívny vek (15-64 rokov);nezamestnaný;1542
SK0217;Okres Trnava;muž;produktívny vek (15-64 rokov);žiak strednej školy;2157
SK0217;Okres Trnava;muž;produktívny vek (15-64 rokov);študent vysokej školy;1183
SK0217;Okres Trnava;muž;produktívny vek (15-64 rokov);osoba v domácnosti;1635
SK0217;Okres Trnava;muž;produktívny vek (15-64 rokov);dôchodca;2676
SK0217;Okres Trnava;muž;produktívny vek (15-64 rokov);príjemca kapitálových príjmov;110
SK0217;Okres Trnava;muž;produktívny vek (15-64 rokov);iná;155
SK0217;Okres Trnava;muž;produktívny vek (15-64 rokov);žiak základnej školy;331
SK0217;Okres Trnava;muž;poproduktívny vek (65 a viac rokov);dôverné;9
SK0217;Okres Trnava;muž;poproduktívny vek (65 a viac rokov);pracujúci dôchodca;1655
SK0217;Okres Trnava;muž;poproduktívny vek (65 a viac rokov);dôchodca;7727
SK0217;Okres Trnava;žena;predproduktívny vek (0-14 rokov);nezistené;16
SK0217;Okres Trnava;žena;predproduktívny vek (0-14 rokov);žiak strednej školy;21
SK0217;Okres Trnava;žena;predproduktívny vek (0-14 rokov);žiak základnej školy;5478
SK0217;Okres Trnava;žena;predproduktívny vek (0-14 rokov);dieťa do začatia povinnej školskej dochádzky;4492
SK0217;Okres Trnava;žena;produktívny vek (15-64 rokov);dôverné;73
SK0217;Okres Trnava;žena;produktívny vek (15-64 rokov);nezistené;832
SK0217;Okres Trnava;žena;produktívny vek (15-64 rokov);pracujúci (okrem dôchodcov);25242
SK0217;Okres Trnava;žena;produktívny vek (15-64 rokov);pracujúci dôchodca;2440
SK0217;Okres Trnava;žena;produktívny vek (15-64 rokov);osoba na materskej dovolenke;535
SK0217;Okres Trnava;žena;produktívny vek (15-64 rokov);osoba na rodičovskej dovolenke;1401
SK0217;Okres Trnava;žena;produktívny vek (15-64 rokov);nezamestnaný;1743
SK0217;Okres Trnava;žena;produktívny vek (15-64 rokov);žiak strednej školy;2039
SK0217;Okres Trnava;žena;produktívny vek (15-64 rokov);študent vysokej školy;1479
SK0217;Okres Trnava;žena;produktívny vek (15-64 rokov);osoba v domácnosti;4229
SK0217;Okres Trnava;žena;produktívny vek (15-64 rokov);dôchodca;3192
SK0217;Okres Trnava;žena;produktívny vek (15-64 rokov);príjemca kapitálových príjmov;87
SK0217;Okres Trnava;žena;produktívny vek (15-64 rokov);iná;24
SK0217;Okres Trnava;žena;produktívny vek (15-64 rokov);žiak základnej školy;250
SK0217;Okres Trnava;žena;poproduktívny vek (65 a viac rokov);dôverné;5
SK0217;Okres Trnava;žena;poproduktívny vek (65 a viac rokov);pracujúci dôchodca;1470
SK0217;Okres Trnava;žena;poproduktívny vek (65 a viac rokov);dôchodca;12279
SK0217;Okres Trnava;žena;poproduktívny vek (65 a viac rokov);príjemca kapitálových príjmov;1
SK0217;Okres Trnava;žena;poproduktívny vek (65 a viac rokov);iná;1
SK0221;Okres Bánovce nad Bebravou;muž;predproduktívny vek (0-14 rokov);žiak strednej školy;1
SK0221;Okres Bánovce nad Bebravou;muž;predproduktívny vek (0-14 rokov);žiak základnej školy;1554
SK0221;Okres Bánovce nad Bebravou;muž;predproduktívny vek (0-14 rokov);dieťa do začatia povinnej školskej dochádzky;1130
SK0221;Okres Bánovce nad Bebravou;muž;produktívny vek (15-64 rokov);dôverné;50
SK0221;Okres Bánovce nad Bebravou;muž;produktívny vek (15-64 rokov);nezistené;226
SK0221;Okres Bánovce nad Bebravou;muž;produktívny vek (15-64 rokov);pracujúci (okrem dôchodcov);8530
SK0221;Okres Bánovce nad Bebravou;muž;produktívny vek (15-64 rokov);pracujúci dôchodca;649
SK0221;Okres Bánovce nad Bebravou;muž;produktívny vek (15-64 rokov);osoba na materskej dovolenke;9
SK0221;Okres Bánovce nad Bebravou;muž;produktívny vek (15-64 rokov);osoba na rodičovskej dovolenke;15
SK0221;Okres Bánovce nad Bebravou;muž;produktívny vek (15-64 rokov);nezamestnaný;579
SK0221;Okres Bánovce nad Bebravou;muž;produktívny vek (15-64 rokov);žiak strednej školy;610
SK0221;Okres Bánovce nad Bebravou;muž;produktívny vek (15-64 rokov);študent vysokej školy;261
SK0221;Okres Bánovce nad Bebravou;muž;produktívny vek (15-64 rokov);osoba v domácnosti;561
SK0221;Okres Bánovce nad Bebravou;muž;produktívny vek (15-64 rokov);dôchodca;721
SK0221;Okres Bánovce nad Bebravou;muž;produktívny vek (15-64 rokov);príjemca kapitálových príjmov;15
SK0221;Okres Bánovce nad Bebravou;muž;produktívny vek (15-64 rokov);iná;51
SK0221;Okres Bánovce nad Bebravou;muž;produktívny vek (15-64 rokov);žiak základnej školy;82
SK0221;Okres Bánovce nad Bebravou;muž;poproduktívny vek (65 a viac rokov);dôverné;7
SK0221;Okres Bánovce nad Bebravou;muž;poproduktívny vek (65 a viac rokov);pracujúci dôchodca;420
SK0221;Okres Bánovce nad Bebravou;muž;poproduktívny vek (65 a viac rokov);dôchodca;2250
SK0221;Okres Bánovce nad Bebravou;žena;predproduktívny vek (0-14 rokov);žiak strednej školy;1
SK0221;Okres Bánovce nad Bebravou;žena;predproduktívny vek (0-14 rokov);žiak základnej školy;1419
SK0221;Okres Bánovce nad Bebravou;žena;predproduktívny vek (0-14 rokov);dieťa do začatia povinnej školskej dochádzky;1032
SK0221;Okres Bánovce nad Bebravou;žena;produktívny vek (15-64 rokov);dôverné;30
SK0221;Okres Bánovce nad Bebravou;žena;produktívny vek (15-64 rokov);nezistené;173
SK0221;Okres Bánovce nad Bebravou;žena;produktívny vek (15-64 rokov);pracujúci (okrem dôchodcov);6967
SK0221;Okres Bánovce nad Bebravou;žena;produktívny vek (15-64 rokov);pracujúci dôchodca;655
SK0221;Okres Bánovce nad Bebravou;žena;produktívny vek (15-64 rokov);osoba na materskej dovolenke;109
SK0221;Okres Bánovce nad Bebravou;žena;produktívny vek (15-64 rokov);osoba na rodičovskej dovolenke;253
SK0221;Okres Bánovce nad Bebravou;žena;produktívny vek (15-64 rokov);nezamestnaný;562
SK0221;Okres Bánovce nad Bebravou;žena;produktívny vek (15-64 rokov);žiak strednej školy;606
SK0221;Okres Bánovce nad Bebravou;žena;produktívny vek (15-64 rokov);študent vysokej školy;391
SK0221;Okres Bánovce nad Bebravou;žena;produktívny vek (15-64 rokov);osoba v domácnosti;1044
SK0221;Okres Bánovce nad Bebravou;žena;produktívny vek (15-64 rokov);dôchodca;973
SK0221;Okres Bánovce nad Bebravou;žena;produktívny vek (15-64 rokov);príjemca kapitálových príjmov;16
SK0221;Okres Bánovce nad Bebravou;žena;produktívny vek (15-64 rokov);iná;5
SK0221;Okres Bánovce nad Bebravou;žena;produktívny vek (15-64 rokov);žiak základnej školy;68
SK0221;Okres Bánovce nad Bebravou;žena;poproduktívny vek (65 a viac rokov);dôverné;1
SK0221;Okres Bánovce nad Bebravou;žena;poproduktívny vek (65 a viac rokov);pracujúci dôchodca;336
SK0221;Okres Bánovce nad Bebravou;žena;poproduktívny vek (65 a viac rokov);dôchodca;3605
SK0222;Okres Ilava;muž;predproduktívny vek (0-14 rokov);žiak strednej školy;2
SK0222;Okres Ilava;muž;predproduktívny vek (0-14 rokov);žiak základnej školy;2326
SK0222;Okres Ilava;muž;predproduktívny vek (0-14 rokov);dieťa do začatia povinnej školskej dochádzky;1913
SK0222;Okres Ilava;muž;produktívny vek (15-64 rokov);dôverné;32
SK0222;Okres Ilava;muž;produktívny vek (15-64 rokov);nezistené;565
SK0222;Okres Ilava;muž;produktívny vek (15-64 rokov);pracujúci (okrem dôchodcov);13994
SK0222;Okres Ilava;muž;produktívny vek (15-64 rokov);pracujúci dôchodca;1155
SK0222;Okres Ilava;muž;produktívny vek (15-64 rokov);osoba na materskej dovolenke;49
SK0222;Okres Ilava;muž;produktívny vek (15-64 rokov);osoba na rodičovskej dovolenke;32
SK0222;Okres Ilava;muž;produktívny vek (15-64 rokov);nezamestnaný;707
SK0222;Okres Ilava;muž;produktívny vek (15-64 rokov);žiak strednej školy;885
SK0222;Okres Ilava;muž;produktívny vek (15-64 rokov);študent vysokej školy;416
SK0222;Okres Ilava;muž;produktívny vek (15-64 rokov);osoba v domácnosti;656
SK0222;Okres Ilava;muž;produktívny vek (15-64 rokov);dôchodca;1252
SK0222;Okres Ilava;muž;produktívny vek (15-64 rokov);príjemca kapitálových príjmov;23
SK0222;Okres Ilava;muž;produktívny vek (15-64 rokov);iná;70
SK0222;Okres Ilava;muž;produktívny vek (15-64 rokov);žiak základnej školy;123
SK0222;Okres Ilava;muž;poproduktívny vek (65 a viac rokov);dôverné;3
SK0222;Okres Ilava;muž;poproduktívny vek (65 a viac rokov);pracujúci dôchodca;776
SK0222;Okres Ilava;muž;poproduktívny vek (65 a viac rokov);dôchodca;3517
SK0222;Okres Ilava;žena;predproduktívny vek (0-14 rokov);žiak základnej školy;2270
SK0222;Okres Ilava;žena;predproduktívny vek (0-14 rokov);dieťa do začatia povinnej školskej dochádzky;1788
SK0222;Okres Ilava;žena;produktívny vek (15-64 rokov);dôverné;33
SK0222;Okres Ilava;žena;produktívny vek (15-64 rokov);nezistené;358
SK0222;Okres Ilava;žena;produktívny vek (15-64 rokov);pracujúci (okrem dôchodcov);11363
SK0222;Okres Ilava;žena;produktívny vek (15-64 rokov);pracujúci dôchodca;1254
SK0222;Okres Ilava;žena;produktívny vek (15-64 rokov);osoba na materskej dovolenke;203
SK0222;Okres Ilava;žena;produktívny vek (15-64 rokov);osoba na rodičovskej dovolenke;417
SK0222;Okres Ilava;žena;produktívny vek (15-64 rokov);nezamestnaný;760
SK0222;Okres Ilava;žena;produktívny vek (15-64 rokov);žiak strednej školy;868
SK0222;Okres Ilava;žena;produktívny vek (15-64 rokov);študent vysokej školy;575
SK0222;Okres Ilava;žena;produktívny vek (15-64 rokov);osoba v domácnosti;1733
SK0222;Okres Ilava;žena;produktívny vek (15-64 rokov);dôchodca;1605
SK0222;Okres Ilava;žena;produktívny vek (15-64 rokov);príjemca kapitálových príjmov;26
SK0222;Okres Ilava;žena;produktívny vek (15-64 rokov);iná;2
SK0222;Okres Ilava;žena;produktívny vek (15-64 rokov);žiak základnej školy;96
SK0222;Okres Ilava;žena;poproduktívny vek (65 a viac rokov);dôverné;4
SK0222;Okres Ilava;žena;poproduktívny vek (65 a viac rokov);pracujúci dôchodca;631
SK0222;Okres Ilava;žena;poproduktívny vek (65 a viac rokov);dôchodca;5576
SK0223;Okres Myjava;muž;predproduktívny vek (0-14 rokov);žiak základnej školy;928
SK0223;Okres Myjava;muž;predproduktívny vek (0-14 rokov);dieťa do začatia povinnej školskej dochádzky;751
SK0223;Okres Myjava;muž;produktívny vek (15-64 rokov);dôverné;32
SK0223;Okres Myjava;muž;produktívny vek (15-64 rokov);nezistené;225
SK0223;Okres Myjava;muž;produktívny vek (15-64 rokov);pracujúci (okrem dôchodcov);5706
SK0223;Okres Myjava;muž;produktívny vek (15-64 rokov);pracujúci dôchodca;659
SK0223;Okres Myjava;muž;produktívny vek (15-64 rokov);osoba na materskej dovolenke;8
SK0223;Okres Myjava;muž;produktívny vek (15-64 rokov);osoba na rodičovskej dovolenke;11
SK0223;Okres Myjava;muž;produktívny vek (15-64 rokov);nezamestnaný;380
SK0223;Okres Myjava;muž;produktívny vek (15-64 rokov);žiak strednej školy;364
SK0223;Okres Myjava;muž;produktívny vek (15-64 rokov);študent vysokej školy;143
SK0223;Okres Myjava;muž;produktívny vek (15-64 rokov);osoba v domácnosti;358
SK0223;Okres Myjava;muž;produktívny vek (15-64 rokov);dôchodca;665
SK0223;Okres Myjava;muž;produktívny vek (15-64 rokov);príjemca kapitálových príjmov;10
SK0223;Okres Myjava;muž;produktívny vek (15-64 rokov);iná;40
SK0223;Okres Myjava;muž;produktívny vek (15-64 rokov);žiak základnej školy;50
SK0223;Okres Myjava;muž;poproduktívny vek (65 a viac rokov);dôverné;2
SK0223;Okres Myjava;muž;poproduktívny vek (65 a viac rokov);pracujúci dôchodca;355
SK0223;Okres Myjava;muž;poproduktívny vek (65 a viac rokov);dôchodca;1948
SK0223;Okres Myjava;žena;predproduktívny vek (0-14 rokov);žiak základnej školy;940
SK0223;Okres Myjava;žena;predproduktívny vek (0-14 rokov);dieťa do začatia povinnej školskej dochádzky;681
SK0223;Okres Myjava;žena;produktívny vek (15-64 rokov);dôverné;29
SK0223;Okres Myjava;žena;produktívny vek (15-64 rokov);nezistené;131
SK0223;Okres Myjava;žena;produktívny vek (15-64 rokov);pracujúci (okrem dôchodcov);4768
SK0223;Okres Myjava;žena;produktívny vek (15-64 rokov);pracujúci dôchodca;652
SK0223;Okres Myjava;žena;produktívny vek (15-64 rokov);osoba na materskej dovolenke;81
SK0223;Okres Myjava;žena;produktívny vek (15-64 rokov);osoba na rodičovskej dovolenke;207
SK0223;Okres Myjava;žena;produktívny vek (15-64 rokov);nezamestnaný;312
SK0223;Okres Myjava;žena;produktívny vek (15-64 rokov);žiak strednej školy;378
SK0223;Okres Myjava;žena;produktívny vek (15-64 rokov);študent vysokej školy;214
SK0223;Okres Myjava;žena;produktívny vek (15-64 rokov);osoba v domácnosti;683
SK0223;Okres Myjava;žena;produktívny vek (15-64 rokov);dôchodca;754
SK0223;Okres Myjava;žena;produktívny vek (15-64 rokov);príjemca kapitálových príjmov;12
SK0223;Okres Myjava;žena;produktívny vek (15-64 rokov);iná;3
SK0223;Okres Myjava;žena;produktívny vek (15-64 rokov);žiak základnej školy;42
SK0223;Okres Myjava;žena;poproduktívny vek (65 a viac rokov);pracujúci dôchodca;372
SK0223;Okres Myjava;žena;poproduktívny vek (65 a viac rokov);dôchodca;2784
SK0224;Okres Nové Mesto nad Váhom;muž;predproduktívny vek (0-14 rokov);žiak strednej školy;1
SK0224;Okres Nové Mesto nad Váhom;muž;predproduktívny vek (0-14 rokov);žiak základnej školy;2551
SK0224;Okres Nové Mesto nad Váhom;muž;predproduktívny vek (0-14 rokov);dieťa do začatia povinnej školskej dochádzky;2081
SK0224;Okres Nové Mesto nad Váhom;muž;produktívny vek (15-64 rokov);dôverné;54
SK0224;Okres Nové Mesto nad Váhom;muž;produktívny vek (15-64 rokov);nezistené;428
SK0224;Okres Nové Mesto nad Váhom;muž;produktívny vek (15-64 rokov);pracujúci (okrem dôchodcov);14589
SK0224;Okres Nové Mesto nad Váhom;muž;produktívny vek (15-64 rokov);pracujúci dôchodca;1112
SK0224;Okres Nové Mesto nad Váhom;muž;produktívny vek (15-64 rokov);osoba na materskej dovolenke;23
SK0224;Okres Nové Mesto nad Váhom;muž;produktívny vek (15-64 rokov);osoba na rodičovskej dovolenke;32
SK0224;Okres Nové Mesto nad Váhom;muž;produktívny vek (15-64 rokov);nezamestnaný;791
SK0224;Okres Nové Mesto nad Váhom;muž;produktívny vek (15-64 rokov);žiak strednej školy;959
SK0224;Okres Nové Mesto nad Váhom;muž;produktívny vek (15-64 rokov);študent vysokej školy;386
SK0224;Okres Nové Mesto nad Váhom;muž;produktívny vek (15-64 rokov);osoba v domácnosti;789
SK0224;Okres Nové Mesto nad Váhom;muž;produktívny vek (15-64 rokov);dôchodca;1232
SK0224;Okres Nové Mesto nad Váhom;muž;produktívny vek (15-64 rokov);príjemca kapitálových príjmov;35
SK0224;Okres Nové Mesto nad Váhom;muž;produktívny vek (15-64 rokov);iná;76
SK0224;Okres Nové Mesto nad Váhom;muž;produktívny vek (15-64 rokov);žiak základnej školy;128
SK0224;Okres Nové Mesto nad Váhom;muž;poproduktívny vek (65 a viac rokov);dôverné;5
SK0224;Okres Nové Mesto nad Váhom;muž;poproduktívny vek (65 a viac rokov);pracujúci dôchodca;907
SK0224;Okres Nové Mesto nad Váhom;muž;poproduktívny vek (65 a viac rokov);dôchodca;4226
SK0224;Okres Nové Mesto nad Váhom;žena;predproduktívny vek (0-14 rokov);nezistené;2
SK0224;Okres Nové Mesto nad Váhom;žena;predproduktívny vek (0-14 rokov);žiak strednej školy;1
SK0224;Okres Nové Mesto nad Váhom;žena;predproduktívny vek (0-14 rokov);žiak základnej školy;2463
SK0224;Okres Nové Mesto nad Váhom;žena;predproduktívny vek (0-14 rokov);dieťa do začatia povinnej školskej dochádzky;1908
SK0224;Okres Nové Mesto nad Váhom;žena;produktívny vek (15-64 rokov);dôverné;56
SK0224;Okres Nové Mesto nad Váhom;žena;produktívny vek (15-64 rokov);nezistené;279
SK0224;Okres Nové Mesto nad Váhom;žena;produktívny vek (15-64 rokov);pracujúci (okrem dôchodcov);11769
SK0224;Okres Nové Mesto nad Váhom;žena;produktívny vek (15-64 rokov);pracujúci dôchodca;1152
SK0224;Okres Nové Mesto nad Váhom;žena;produktívny vek (15-64 rokov);osoba na materskej dovolenke;239
SK0224;Okres Nové Mesto nad Váhom;žena;produktívny vek (15-64 rokov);osoba na rodičovskej dovolenke;464
SK0224;Okres Nové Mesto nad Váhom;žena;produktívny vek (15-64 rokov);nezamestnaný;861
SK0224;Okres Nové Mesto nad Váhom;žena;produktívny vek (15-64 rokov);žiak strednej školy;1009
SK0224;Okres Nové Mesto nad Váhom;žena;produktívny vek (15-64 rokov);študent vysokej školy;603
SK0224;Okres Nové Mesto nad Váhom;žena;produktívny vek (15-64 rokov);osoba v domácnosti;1870
SK0224;Okres Nové Mesto nad Váhom;žena;produktívny vek (15-64 rokov);dôchodca;1513
SK0224;Okres Nové Mesto nad Váhom;žena;produktívny vek (15-64 rokov);príjemca kapitálových príjmov;21
SK0224;Okres Nové Mesto nad Váhom;žena;produktívny vek (15-64 rokov);iná;6
SK0224;Okres Nové Mesto nad Váhom;žena;produktívny vek (15-64 rokov);žiak základnej školy;93
SK0224;Okres Nové Mesto nad Váhom;žena;poproduktívny vek (65 a viac rokov);dôverné;1
SK0224;Okres Nové Mesto nad Váhom;žena;poproduktívny vek (65 a viac rokov);pracujúci dôchodca;746
SK0224;Okres Nové Mesto nad Váhom;žena;poproduktívny vek (65 a viac rokov);dôchodca;6379
SK0225;Okres Partizánske;muž;predproduktívny vek (0-14 rokov);nezistené;1
SK0225;Okres Partizánske;muž;predproduktívny vek (0-14 rokov);žiak základnej školy;1733
SK0225;Okres Partizánske;muž;predproduktívny vek (0-14 rokov);dieťa do začatia povinnej školskej dochádzky;1346
SK0225;Okres Partizánske;muž;produktívny vek (15-64 rokov);dôverné;37
SK0225;Okres Partizánske;muž;produktívny vek (15-64 rokov);nezistené;459
SK0225;Okres Partizánske;muž;produktívny vek (15-64 rokov);pracujúci (okrem dôchodcov);10152
SK0225;Okres Partizánske;muž;produktívny vek (15-64 rokov);pracujúci dôchodca;805
SK0225;Okres Partizánske;muž;produktívny vek (15-64 rokov);osoba na materskej dovolenke;16
SK0225;Okres Partizánske;muž;produktívny vek (15-64 rokov);osoba na rodičovskej dovolenke;27
SK0225;Okres Partizánske;muž;produktívny vek (15-64 rokov);nezamestnaný;703
SK0225;Okres Partizánske;muž;produktívny vek (15-64 rokov);žiak strednej školy;692
SK0225;Okres Partizánske;muž;produktívny vek (15-64 rokov);študent vysokej školy;301
SK0225;Okres Partizánske;muž;produktívny vek (15-64 rokov);osoba v domácnosti;709
SK0225;Okres Partizánske;muž;produktívny vek (15-64 rokov);dôchodca;1010
SK0225;Okres Partizánske;muž;produktívny vek (15-64 rokov);príjemca kapitálových príjmov;15
SK0225;Okres Partizánske;muž;produktívny vek (15-64 rokov);iná;90
SK0225;Okres Partizánske;muž;produktívny vek (15-64 rokov);žiak základnej školy;120
SK0225;Okres Partizánske;muž;poproduktívny vek (65 a viac rokov);dôverné;4
SK0225;Okres Partizánske;muž;poproduktívny vek (65 a viac rokov);pracujúci dôchodca;525
SK0225;Okres Partizánske;muž;poproduktívny vek (65 a viac rokov);dôchodca;3131
SK0225;Okres Partizánske;žena;predproduktívny vek (0-14 rokov);žiak základnej školy;1660
SK0225;Okres Partizánske;žena;predproduktívny vek (0-14 rokov);dieťa do začatia povinnej školskej dochádzky;1258
SK0225;Okres Partizánske;žena;produktívny vek (15-64 rokov);dôverné;32
SK0225;Okres Partizánske;žena;produktívny vek (15-64 rokov);nezistené;294
SK0225;Okres Partizánske;žena;produktívny vek (15-64 rokov);pracujúci (okrem dôchodcov);8058
SK0225;Okres Partizánske;žena;produktívny vek (15-64 rokov);pracujúci dôchodca;790
SK0225;Okres Partizánske;žena;produktívny vek (15-64 rokov);osoba na materskej dovolenke;122
SK0225;Okres Partizánske;žena;produktívny vek (15-64 rokov);osoba na rodičovskej dovolenke;307
SK0225;Okres Partizánske;žena;produktívny vek (15-64 rokov);nezamestnaný;780
SK0225;Okres Partizánske;žena;produktívny vek (15-64 rokov);žiak strednej školy;635
SK0225;Okres Partizánske;žena;produktívny vek (15-64 rokov);študent vysokej školy;391
SK0225;Okres Partizánske;žena;produktívny vek (15-64 rokov);osoba v domácnosti;1537
SK0225;Okres Partizánske;žena;produktívny vek (15-64 rokov);dôchodca;1272
SK0225;Okres Partizánske;žena;produktívny vek (15-64 rokov);príjemca kapitálových príjmov;14
SK0225;Okres Partizánske;žena;produktívny vek (15-64 rokov);iná;3
SK0225;Okres Partizánske;žena;produktívny vek (15-64 rokov);žiak základnej školy;75
SK0225;Okres Partizánske;žena;poproduktívny vek (65 a viac rokov);pracujúci dôchodca;424
SK0225;Okres Partizánske;žena;poproduktívny vek (65 a viac rokov);dôchodca;4987
SK0226;Okres Považská Bystrica;muž;predproduktívny vek (0-14 rokov);žiak základnej školy;2450
SK0226;Okres Považská Bystrica;muž;predproduktívny vek (0-14 rokov);dieťa do začatia povinnej školskej dochádzky;2201
SK0226;Okres Považská Bystrica;muž;produktívny vek (15-64 rokov);dôverné;46
SK0226;Okres Považská Bystrica;muž;produktívny vek (15-64 rokov);nezistené;463
SK0226;Okres Považská Bystrica;muž;produktívny vek (15-64 rokov);pracujúci (okrem dôchodcov);14674
SK0226;Okres Považská Bystrica;muž;produktívny vek (15-64 rokov);pracujúci dôchodca;1378
SK0226;Okres Považská Bystrica;muž;produktívny vek (15-64 rokov);osoba na materskej dovolenke;43
SK0226;Okres Považská Bystrica;muž;produktívny vek (15-64 rokov);osoba na rodičovskej dovolenke;38
SK0226;Okres Považská Bystrica;muž;produktívny vek (15-64 rokov);nezamestnaný;1134
SK0226;Okres Považská Bystrica;muž;produktívny vek (15-64 rokov);žiak strednej školy;1013
SK0226;Okres Považská Bystrica;muž;produktívny vek (15-64 rokov);študent vysokej školy;516
SK0226;Okres Považská Bystrica;muž;produktívny vek (15-64 rokov);osoba v domácnosti;650
SK0226;Okres Považská Bystrica;muž;produktívny vek (15-64 rokov);dôchodca;1429
SK0226;Okres Považská Bystrica;muž;produktívny vek (15-64 rokov);príjemca kapitálových príjmov;26
SK0226;Okres Považská Bystrica;muž;produktívny vek (15-64 rokov);iná;50
SK0226;Okres Považská Bystrica;muž;produktívny vek (15-64 rokov);žiak základnej školy;176
SK0226;Okres Považská Bystrica;muž;poproduktívny vek (65 a viac rokov);dôverné;2
SK0226;Okres Považská Bystrica;muž;poproduktívny vek (65 a viac rokov);pracujúci dôchodca;717
SK0226;Okres Považská Bystrica;muž;poproduktívny vek (65 a viac rokov);dôchodca;3446
SK0226;Okres Považská Bystrica;žena;predproduktívny vek (0-14 rokov);žiak strednej školy;4
