,Názov kraja,Názov okresu,Pohlavie,Súčasná ekonomická aktivita,abs.
375,Trenčiansky kraj,Okres Bánovce nad Bebravou,Muži,študent vysokej školy,333
376,Trenčiansky kraj,Okres Bánovce nad Bebravou,Muži,nezistené,177
377,Trenčiansky kraj,Okres Bánovce nad Bebravou,Ženy,dôchodca,4666
378,Trenčiansky kraj,Okres Bánovce nad Bebravou,Ženy,nezávislí,163
379,Trenčiansky kraj,Okres Bánovce nad Bebravou,Ženy,deti a žiaci ZŠ,3784
380,Trenčiansky kraj,Okres Bánovce nad Bebravou,Ženy,žiak z učilíšť,204
381,Trenčiansky kraj,Okres Bánovce nad Bebravou,Ženy,žiak strednej školy,651
382,Trenčiansky kraj,Okres Bánovce nad Bebravou,Ženy,študent vysokej školy,317
383,Trenčiansky kraj,Okres Bánovce nad Bebravou,Ženy,nezistené,265
384,Trenčiansky kraj,Okres Ilava,Muži,na materskej dovolenke,23
385,Trenčiansky kraj,Okres Ilava,Muži,pracujúci dôhodcovia,571
386,Trenčiansky kraj,Okres Ilava,Muži,vypomáhajúci v rod. podniku,8
387,Trenčiansky kraj,Okres Ilava,Muži,nezamestnaní,2313
388,Trenčiansky kraj,Okres Ilava,Muži,iné,13959
389,Trenčiansky kraj,Okres Ilava,Ženy,na materskej dovolenke,1680
390,Trenčiansky kraj,Okres Ilava,Ženy,pracujúci dôhodcovia,808
391,Trenčiansky kraj,Okres Ilava,Ženy,vypomáhajúci v rod. podniku,24
392,Trenčiansky kraj,Okres Ilava,Ženy,nezamestnaní,1748
393,Trenčiansky kraj,Okres Ilava,Ženy,iné,11289
394,Trenčiansky kraj,Okres Ilava,Muži,dôchodca,3987
395,Trenčiansky kraj,Okres Ilava,Muži,nezávislí,400
396,Trenčiansky kraj,Okres Ilava,Muži,deti a žiaci ZŠ,6466
397,Trenčiansky kraj,Okres Ilava,Muži,žiak z učilíšť,509
398,Trenčiansky kraj,Okres Ilava,Muži,žiak strednej školy,989
399,Trenčiansky kraj,Okres Ilava,Muži,študent vysokej školy,623
400,Trenčiansky kraj,Okres Ilava,Muži,nezistené,588
401,Trenčiansky kraj,Okres Ilava,Ženy,dôchodca,6774
402,Trenčiansky kraj,Okres Ilava,Ženy,nezávislí,254
403,Trenčiansky kraj,Okres Ilava,Ženy,deti a žiaci ZŠ,6134
404,Trenčiansky kraj,Okres Ilava,Ženy,žiak z učilíšť,202
405,Trenčiansky kraj,Okres Ilava,Ženy,žiak strednej školy,1209
406,Trenčiansky kraj,Okres Ilava,Ženy,študent vysokej školy,556
407,Trenčiansky kraj,Okres Ilava,Ženy,nezistené,928
408,Trenčiansky kraj,Okres Myjava,Muži,na materskej dovolenke,5
409,Trenčiansky kraj,Okres Myjava,Muži,pracujúci dôhodcovia,240
410,Trenčiansky kraj,Okres Myjava,Muži,vypomáhajúci v rod. podniku,10
411,Trenčiansky kraj,Okres Myjava,Muži,nezamestnaní,1487
412,Trenčiansky kraj,Okres Myjava,Muži,iné,6263
413,Trenčiansky kraj,Okres Myjava,Ženy,na materskej dovolenke,621
414,Trenčiansky kraj,Okres Myjava,Ženy,pracujúci dôhodcovia,437
415,Trenčiansky kraj,Okres Myjava,Ženy,vypomáhajúci v rod. podniku,12
416,Trenčiansky kraj,Okres Myjava,Ženy,nezamestnaní,1260
417,Trenčiansky kraj,Okres Myjava,Ženy,iné,4957
418,Trenčiansky kraj,Okres Myjava,Muži,dôchodca,2293
419,Trenčiansky kraj,Okres Myjava,Muži,nezávislí,183
420,Trenčiansky kraj,Okres Myjava,Muži,deti a žiaci ZŠ,2586
421,Trenčiansky kraj,Okres Myjava,Muži,žiak z učilíšť,189
422,Trenčiansky kraj,Okres Myjava,Muži,žiak strednej školy,348
423,Trenčiansky kraj,Okres Myjava,Muži,študent vysokej školy,281
424,Trenčiansky kraj,Okres Myjava,Muži,nezistené,295
425,Trenčiansky kraj,Okres Myjava,Ženy,dôchodca,3922
426,Trenčiansky kraj,Okres Myjava,Ženy,nezávislí,117
427,Trenčiansky kraj,Okres Myjava,Ženy,deti a žiaci ZŠ,2572
428,Trenčiansky kraj,Okres Myjava,Ženy,žiak z učilíšť,71
429,Trenčiansky kraj,Okres Myjava,Ženy,žiak strednej školy,481
430,Trenčiansky kraj,Okres Myjava,Ženy,študent vysokej školy,284
431,Trenčiansky kraj,Okres Myjava,Ženy,nezistené,329
432,Trenčiansky kraj,Okres Nové Mesto nad Váhom,Muži,na materskej dovolenke,14
433,Trenčiansky kraj,Okres Nové Mesto nad Váhom,Muži,pracujúci dôhodcovia,520
434,Trenčiansky kraj,Okres Nové Mesto nad Váhom,Muži,vypomáhajúci v rod. podniku,6
435,Trenčiansky kraj,Okres Nové Mesto nad Váhom,Muži,nezamestnaní,2504
436,Trenčiansky kraj,Okres Nové Mesto nad Váhom,Muži,iné,14164
437,Trenčiansky kraj,Okres Nové Mesto nad Váhom,Ženy,na materskej dovolenke,1518
438,Trenčiansky kraj,Okres Nové Mesto nad Váhom,Ženy,pracujúci dôhodcovia,697
439,Trenčiansky kraj,Okres Nové Mesto nad Váhom,Ženy,vypomáhajúci v rod. podniku,33
440,Trenčiansky kraj,Okres Nové Mesto nad Váhom,Ženy,nezamestnaní,2212
441,Trenčiansky kraj,Okres Nové Mesto nad Váhom,Ženy,iné,10919
442,Trenčiansky kraj,Okres Nové Mesto nad Váhom,Muži,dôchodca,5127
443,Trenčiansky kraj,Okres Nové Mesto nad Váhom,Muži,nezávislí,409
444,Trenčiansky kraj,Okres Nové Mesto nad Váhom,Muži,deti a žiaci ZŠ,5889
445,Trenčiansky kraj,Okres Nové Mesto nad Váhom,Muži,žiak z učilíšť,348
446,Trenčiansky kraj,Okres Nové Mesto nad Váhom,Muži,žiak strednej školy,912
447,Trenčiansky kraj,Okres Nové Mesto nad Váhom,Muži,študent vysokej školy,573
448,Trenčiansky kraj,Okres Nové Mesto nad Váhom,Muži,nezistené,425
449,Trenčiansky kraj,Okres Nové Mesto nad Váhom,Ženy,dôchodca,8814
450,Trenčiansky kraj,Okres Nové Mesto nad Váhom,Ženy,nezávislí,230
451,Trenčiansky kraj,Okres Nové Mesto nad Váhom,Ženy,deti a žiaci ZŠ,5731
452,Trenčiansky kraj,Okres Nové Mesto nad Váhom,Ženy,žiak z učilíšť,167
453,Trenčiansky kraj,Okres Nové Mesto nad Váhom,Ženy,žiak strednej školy,1079
454,Trenčiansky kraj,Okres Nové Mesto nad Váhom,Ženy,študent vysokej školy,569
455,Trenčiansky kraj,Okres Nové Mesto nad Váhom,Ženy,nezistené,670
456,Trenčiansky kraj,Okres Partizánske,Muži,na materskej dovolenke,14
457,Trenčiansky kraj,Okres Partizánske,Muži,pracujúci dôhodcovia,348
458,Trenčiansky kraj,Okres Partizánske,Muži,vypomáhajúci v rod. podniku,5
459,Trenčiansky kraj,Okres Partizánske,Muži,nezamestnaní,3360
460,Trenčiansky kraj,Okres Partizánske,Muži,iné,9553
461,Trenčiansky kraj,Okres Partizánske,Ženy,na materskej dovolenke,1206
462,Trenčiansky kraj,Okres Partizánske,Ženy,pracujúci dôhodcovia,549
463,Trenčiansky kraj,Okres Partizánske,Ženy,vypomáhajúci v rod. podniku,23
464,Trenčiansky kraj,Okres Partizánske,Ženy,nezamestnaní,2089
465,Trenčiansky kraj,Okres Partizánske,Ženy,iné,8370
466,Trenčiansky kraj,Okres Partizánske,Muži,dôchodca,3555
467,Trenčiansky kraj,Okres Partizánske,Muži,nezávislí,353
468,Trenčiansky kraj,Okres Partizánske,Muži,deti a žiaci ZŠ,4623
469,Trenčiansky kraj,Okres Partizánske,Muži,žiak z učilíšť,345
470,Trenčiansky kraj,Okres Partizánske,Muži,žiak strednej školy,582
471,Trenčiansky kraj,Okres Partizánske,Muži,študent vysokej školy,374
472,Trenčiansky kraj,Okres Partizánske,Muži,nezistené,318
473,Trenčiansky kraj,Okres Partizánske,Ženy,dôchodca,5937
474,Trenčiansky kraj,Okres Partizánske,Ženy,nezávislí,226
475,Trenčiansky kraj,Okres Partizánske,Ženy,deti a žiaci ZŠ,4336
476,Trenčiansky kraj,Okres Partizánske,Ženy,žiak z učilíšť,233
477,Trenčiansky kraj,Okres Partizánske,Ženy,žiak strednej školy,702
478,Trenčiansky kraj,Okres Partizánske,Ženy,študent vysokej školy,402
479,Trenčiansky kraj,Okres Partizánske,Ženy,nezistené,502
480,Trenčiansky kraj,Okres Považská Bystrica,Muži,na materskej dovolenke,15
481,Trenčiansky kraj,Okres Považská Bystrica,Muži,pracujúci dôhodcovia,513
482,Trenčiansky kraj,Okres Považská Bystrica,Muži,vypomáhajúci v rod. podniku,14
483,Trenčiansky kraj,Okres Považská Bystrica,Muži,nezamestnaní,3209
484,Trenčiansky kraj,Okres Považská Bystrica,Muži,iné,13826
485,Trenčiansky kraj,Okres Považská Bystrica,Ženy,na materskej dovolenke,1962
486,Trenčiansky kraj,Okres Považská Bystrica,Ženy,pracujúci dôhodcovia,690
487,Trenčiansky kraj,Okres Považská Bystrica,Ženy,vypomáhajúci v rod. podniku,23
488,Trenčiansky kraj,Okres Považská Bystrica,Ženy,nezamestnaní,2678
489,Trenčiansky kraj,Okres Považská Bystrica,Ženy,iné,10637
490,Trenčiansky kraj,Okres Považská Bystrica,Muži,dôchodca,4205
491,Trenčiansky kraj,Okres Považská Bystrica,Muži,nezávislí,414
492,Trenčiansky kraj,Okres Považská Bystrica,Muži,deti a žiaci ZŠ,7281
493,Trenčiansky kraj,Okres Považská Bystrica,Muži,žiak z učilíšť,523
494,Trenčiansky kraj,Okres Považská Bystrica,Muži,žiak strednej školy,993
495,Trenčiansky kraj,Okres Považská Bystrica,Muži,študent vysokej školy,605
496,Trenčiansky kraj,Okres Považská Bystrica,Muži,nezistené,421
497,Trenčiansky kraj,Okres Považská Bystrica,Ženy,dôchodca,7004
498,Trenčiansky kraj,Okres Považská Bystrica,Ženy,nezávislí,237
499,Trenčiansky kraj,Okres Považská Bystrica,Ženy,deti a žiaci ZŠ,7079
500,Trenčiansky kraj,Okres Považská Bystrica,Ženy,žiak z učilíšť,232
501,Trenčiansky kraj,Okres Považská Bystrica,Ženy,žiak strednej školy,1256
502,Trenčiansky kraj,Okres Považská Bystrica,Ženy,študent vysokej školy,569
503,Trenčiansky kraj,Okres Považská Bystrica,Ženy,nezistené,764
504,Trenčiansky kraj,Okres Prievidza,Muži,na materskej dovolenke,46
505,Trenčiansky kraj,Okres Prievidza,Muži,pracujúci dôhodcovia,1309
506,Trenčiansky kraj,Okres Prievidza,Muži,vypomáhajúci v rod. podniku,25
507,Trenčiansky kraj,Okres Prievidza,Muži,nezamestnaní,6896
508,Trenčiansky kraj,Okres Prievidza,Muži,iné,29618
509,Trenčiansky kraj,Okres Prievidza,Ženy,na materskej dovolenke,3565
510,Trenčiansky kraj,Okres Prievidza,Ženy,pracujúci dôhodcovia,1524
511,Trenčiansky kraj,Okres Prievidza,Ženy,vypomáhajúci v rod. podniku,49
512,Trenčiansky kraj,Okres Prievidza,Ženy,nezamestnaní,5208
513,Trenčiansky kraj,Okres Prievidza,Ženy,iné,24723
514,Trenčiansky kraj,Okres Prievidza,Muži,dôchodca,10784
515,Trenčiansky kraj,Okres Prievidza,Muži,nezávislí,978
516,Trenčiansky kraj,Okres Prievidza,Muži,deti a žiaci ZŠ,14047
517,Trenčiansky kraj,Okres Prievidza,Muži,žiak z učilíšť,970
518,Trenčiansky kraj,Okres Prievidza,Muži,žiak strednej školy,2004
519,Trenčiansky kraj,Okres Prievidza,Muži,študent vysokej školy,1150
520,Trenčiansky kraj,Okres Prievidza,Muži,nezistené,1222
521,Trenčiansky kraj,Okres Prievidza,Ženy,dôchodca,16194
522,Trenčiansky kraj,Okres Prievidza,Ženy,nezávislí,561
523,Trenčiansky kraj,Okres Prievidza,Ženy,deti a žiaci ZŠ,13539
524,Trenčiansky kraj,Okres Prievidza,Ženy,žiak z učilíšť,592
525,Trenčiansky kraj,Okres Prievidza,Ženy,žiak strednej školy,2366
526,Trenčiansky kraj,Okres Prievidza,Ženy,študent vysokej školy,1170
527,Trenčiansky kraj,Okres Prievidza,Ženy,nezistené,1904
528,Trenčiansky kraj,Okres Púchov,Muži,na materskej dovolenke,10
529,Trenčiansky kraj,Okres Púchov,Muži,pracujúci dôhodcovia,254
530,Trenčiansky kraj,Okres Púchov,Muži,vypomáhajúci v rod. podniku,3
531,Trenčiansky kraj,Okres Púchov,Muži,nezamestnaní,1956
532,Trenčiansky kraj,Okres Púchov,Muži,iné,10428
533,Trenčiansky kraj,Okres Púchov,Ženy,na materskej dovolenke,1354
534,Trenčiansky kraj,Okres Púchov,Ženy,pracujúci dôhodcovia,361
535,Trenčiansky kraj,Okres Púchov,Ženy,vypomáhajúci v rod. podniku,12
536,Trenčiansky kraj,Okres Púchov,Ženy,nezamestnaní,1313
537,Trenčiansky kraj,Okres Púchov,Ženy,iné,8080
538,Trenčiansky kraj,Okres Púchov,Muži,dôchodca,3222
539,Trenčiansky kraj,Okres Púchov,Muži,nezávislí,323
540,Trenčiansky kraj,Okres Púchov,Muži,deti a žiaci ZŠ,4860
541,Trenčiansky kraj,Okres Púchov,Muži,žiak z učilíšť,298
542,Trenčiansky kraj,Okres Púchov,Muži,žiak strednej školy,596
543,Trenčiansky kraj,Okres Púchov,Muži,študent vysokej školy,362
544,Trenčiansky kraj,Okres Púchov,Muži,nezistené,157
545,Trenčiansky kraj,Okres Púchov,Ženy,dôchodca,5656
546,Trenčiansky kraj,Okres Púchov,Ženy,nezávislí,187
547,Trenčiansky kraj,Okres Púchov,Ženy,deti a žiaci ZŠ,4698
548,Trenčiansky kraj,Okres Púchov,Ženy,žiak z učilíšť,148
549,Trenčiansky kraj,Okres Púchov,Ženy,žiak strednej školy,827
550,Trenčiansky kraj,Okres Púchov,Ženy,študent vysokej školy,353
551,Trenčiansky kraj,Okres Púchov,Ženy,nezistené,303
552,Trenčiansky kraj,Okres Trenčín,Muži,na materskej dovolenke,22
553,Trenčiansky kraj,Okres Trenčín,Muži,pracujúci dôhodcovia,673
554,Trenčiansky kraj,Okres Trenčín,Muži,vypomáhajúci v rod. podniku,12
555,Trenčiansky kraj,Okres Trenčín,Muži,nezamestnaní,4090
556,Trenčiansky kraj,Okres Trenčín,Muži,iné,25348
557,Trenčiansky kraj,Okres Trenčín,Ženy,na materskej dovolenke,2845
558,Trenčiansky kraj,Okres Trenčín,Ženy,pracujúci dôhodcovia,939
559,Trenčiansky kraj,Okres Trenčín,Ženy,vypomáhajúci v rod. podniku,45
560,Trenčiansky kraj,Okres Trenčín,Ženy,nezamestnaní,2392
561,Trenčiansky kraj,Okres Trenčín,Ženy,iné,21655
562,Trenčiansky kraj,Okres Trenčín,Muži,dôchodca,8545
563,Trenčiansky kraj,Okres Trenčín,Muži,nezávislí,721
564,Trenčiansky kraj,Okres Trenčín,Muži,deti a žiaci ZŠ,10995
565,Trenčiansky kraj,Okres Trenčín,Muži,žiak z učilíšť,733
566,Trenčiansky kraj,Okres Trenčín,Muži,žiak strednej školy,1693
567,Trenčiansky kraj,Okres Trenčín,Muži,študent vysokej školy,1174
568,Trenčiansky kraj,Okres Trenčín,Muži,nezistené,822
569,Trenčiansky kraj,Okres Trenčín,Ženy,dôchodca,14566
570,Trenčiansky kraj,Okres Trenčín,Ženy,nezávislí,398
571,Trenčiansky kraj,Okres Trenčín,Ženy,deti a žiaci ZŠ,10326
572,Trenčiansky kraj,Okres Trenčín,Ženy,žiak z učilíšť,378
573,Trenčiansky kraj,Okres Trenčín,Ženy,žiak strednej školy,1977
574,Trenčiansky kraj,Okres Trenčín,Ženy,študent vysokej školy,1203
575,Trenčiansky kraj,Okres Trenčín,Ženy,nezistené,1215
576,Nitriansky kraj,Okres Komárno,Muži,na materskej dovolenke,20
577,Nitriansky kraj,Okres Komárno,Muži,pracujúci dôhodcovia,234
578,Nitriansky kraj,Okres Komárno,Muži,vypomáhajúci v rod. podniku,17
579,Nitriansky kraj,Okres Komárno,Muži,nezamestnaní,8149
580,Nitriansky kraj,Okres Komárno,Muži,iné,20936
581,Nitriansky kraj,Okres Komárno,Ženy,na materskej dovolenke,2456
582,Nitriansky kraj,Okres Komárno,Ženy,pracujúci dôhodcovia,300
583,Nitriansky kraj,Okres Komárno,Ženy,vypomáhajúci v rod. podniku,49
584,Nitriansky kraj,Okres Komárno,Ženy,nezamestnaní,6808
585,Nitriansky kraj,Okres Komárno,Ženy,iné,16329
586,Nitriansky kraj,Okres Komárno,Muži,dôchodca,8627
587,Nitriansky kraj,Okres Komárno,Muži,nezávislí,880
588,Nitriansky kraj,Okres Komárno,Muži,deti a žiaci ZŠ,10161
589,Nitriansky kraj,Okres Komárno,Muži,žiak z učilíšť,656
590,Nitriansky kraj,Okres Komárno,Muži,žiak strednej školy,1369
591,Nitriansky kraj,Okres Komárno,Muži,študent vysokej školy,790
592,Nitriansky kraj,Okres Komárno,Muži,nezistené,795
593,Nitriansky kraj,Okres Komárno,Ženy,dôchodca,14488
594,Nitriansky kraj,Okres Komárno,Ženy,nezávislí,659
595,Nitriansky kraj,Okres Komárno,Ženy,deti a žiaci ZŠ,9274
596,Nitriansky kraj,Okres Komárno,Ženy,žiak z učilíšť,373
597,Nitriansky kraj,Okres Komárno,Ženy,žiak strednej školy,1557
598,Nitriansky kraj,Okres Komárno,Ženy,študent vysokej školy,763
599,Nitriansky kraj,Okres Komárno,Ženy,nezistené,2866
600,Nitriansky kraj,Okres Levice,Muži,na materskej dovolenke,35
601,Nitriansky kraj,Okres Levice,Muži,pracujúci dôhodcovia,230
602,Nitriansky kraj,Okres Levice,Muži,vypomáhajúci v rod. podniku,15
603,Nitriansky kraj,Okres Levice,Muži,nezamestnaní,8724
604,Nitriansky kraj,Okres Levice,Muži,iné,22094
605,Nitriansky kraj,Okres Levice,Ženy,na materskej dovolenke,2599
606,Nitriansky kraj,Okres Levice,Ženy,pracujúci dôhodcovia,325
607,Nitriansky kraj,Okres Levice,Ženy,vypomáhajúci v rod. podniku,35
608,Nitriansky kraj,Okres Levice,Ženy,nezamestnaní,7346
609,Nitriansky kraj,Okres Levice,Ženy,iné,17878
610,Nitriansky kraj,Okres Levice,Muži,dôchodca,10368
611,Nitriansky kraj,Okres Levice,Muži,nezávislí,679
612,Nitriansky kraj,Okres Levice,Muži,deti a žiaci ZŠ,11708
613,Nitriansky kraj,Okres Levice,Muži,žiak z učilíšť,716
614,Nitriansky kraj,Okres Levice,Muži,žiak strednej školy,1421
615,Nitriansky kraj,Okres Levice,Muži,študent vysokej školy,983
616,Nitriansky kraj,Okres Levice,Muži,nezistené,541
617,Nitriansky kraj,Okres Levice,Ženy,dôchodca,18008
618,Nitriansky kraj,Okres Levice,Ženy,nezávislí,472
619,Nitriansky kraj,Okres Levice,Ženy,deti a žiaci ZŠ,11042
620,Nitriansky kraj,Okres Levice,Ženy,žiak z učilíšť,347
621,Nitriansky kraj,Okres Levice,Ženy,žiak strednej školy,1820
622,Nitriansky kraj,Okres Levice,Ženy,študent vysokej školy,972
623,Nitriansky kraj,Okres Levice,Ženy,nezistené,1663
624,Nitriansky kraj,Okres Nitra,Muži,na materskej dovolenke,36
625,Nitriansky kraj,Okres Nitra,Muži,pracujúci dôhodcovia,358
626,Nitriansky kraj,Okres Nitra,Muži,vypomáhajúci v rod. podniku,20
627,Nitriansky kraj,Okres Nitra,Muži,nezamestnaní,8362
628,Nitriansky kraj,Okres Nitra,Muži,iné,34550
629,Nitriansky kraj,Okres Nitra,Ženy,na materskej dovolenke,4079
630,Nitriansky kraj,Okres Nitra,Ženy,pracujúci dôhodcovia,532
631,Nitriansky kraj,Okres Nitra,Ženy,vypomáhajúci v rod. podniku,75
632,Nitriansky kraj,Okres Nitra,Ženy,nezamestnaní,6642
633,Nitriansky kraj,Okres Nitra,Ženy,iné,28610
634,Nitriansky kraj,Okres Nitra,Muži,dôchodca,11510
635,Nitriansky kraj,Okres Nitra,Muži,nezávislí,982
636,Nitriansky kraj,Okres Nitra,Muži,deti a žiaci ZŠ,16474
637,Nitriansky kraj,Okres Nitra,Muži,žiak z učilíšť,1058
638,Nitriansky kraj,Okres Nitra,Muži,žiak strednej školy,2338
639,Nitriansky kraj,Okres Nitra,Muži,študent vysokej školy,1974
640,Nitriansky kraj,Okres Nitra,Muži,nezistené,1368
641,Nitriansky kraj,Okres Nitra,Ženy,dôchodca,20776
642,Nitriansky kraj,Okres Nitra,Ženy,nezávislí,653
643,Nitriansky kraj,Okres Nitra,Ženy,deti a žiaci ZŠ,15524
644,Nitriansky kraj,Okres Nitra,Ženy,žiak z učilíšť,539
645,Nitriansky kraj,Okres Nitra,Ženy,žiak strednej školy,2644
646,Nitriansky kraj,Okres Nitra,Ženy,študent vysokej školy,1974
647,Nitriansky kraj,Okres Nitra,Ženy,nezistené,2462
648,Nitriansky kraj,Okres Nové Zámky,Muži,na materskej dovolenke,31
649,Nitriansky kraj,Okres Nové Zámky,Muži,pracujúci dôhodcovia,258
650,Nitriansky kraj,Okres Nové Zámky,Muži,vypomáhajúci v rod. podniku,28
651,Nitriansky kraj,Okres Nové Zámky,Muži,nezamestnaní,10028
652,Nitriansky kraj,Okres Nové Zámky,Muži,iné,29480
653,Nitriansky kraj,Okres Nové Zámky,Ženy,na materskej dovolenke,3518
654,Nitriansky kraj,Okres Nové Zámky,Ženy,pracujúci dôhodcovia,319
655,Nitriansky kraj,Okres Nové Zámky,Ženy,vypomáhajúci v rod. podniku,60
656,Nitriansky kraj,Okres Nové Zámky,Ženy,nezamestnaní,9219
657,Nitriansky kraj,Okres Nové Zámky,Ženy,iné,22711
658,Nitriansky kraj,Okres Nové Zámky,Muži,dôchodca,12461
659,Nitriansky kraj,Okres Nové Zámky,Muži,nezávislí,843
660,Nitriansky kraj,Okres Nové Zámky,Muži,deti a žiaci ZŠ,13932
661,Nitriansky kraj,Okres Nové Zámky,Muži,žiak z učilíšť,909
662,Nitriansky kraj,Okres Nové Zámky,Muži,žiak strednej školy,2003
663,Nitriansky kraj,Okres Nové Zámky,Muži,študent vysokej školy,1165
664,Nitriansky kraj,Okres Nové Zámky,Muži,nezistené,683
665,Nitriansky kraj,Okres Nové Zámky,Ženy,dôchodca,21984
666,Nitriansky kraj,Okres Nové Zámky,Ženy,nezávislí,618
667,Nitriansky kraj,Okres Nové Zámky,Ženy,deti a žiaci ZŠ,13229
668,Nitriansky kraj,Okres Nové Zámky,Ženy,žiak z učilíšť,485
669,Nitriansky kraj,Okres Nové Zámky,Ženy,žiak strednej školy,2250
670,Nitriansky kraj,Okres Nové Zámky,Ženy,študent vysokej školy,1300
671,Nitriansky kraj,Okres Nové Zámky,Ženy,nezistené,2080
672,Nitriansky kraj,Okres Šaľa,Muži,na materskej dovolenke,13
673,Nitriansky kraj,Okres Šaľa,Muži,pracujúci dôhodcovia,126
674,Nitriansky kraj,Okres Šaľa,Muži,vypomáhajúci v rod. podniku,1
675,Nitriansky kraj,Okres Šaľa,Muži,nezamestnaní,3466
676,Nitriansky kraj,Okres Šaľa,Muži,iné,11550
677,Nitriansky kraj,Okres Šaľa,Ženy,na materskej dovolenke,1284
678,Nitriansky kraj,Okres Šaľa,Ženy,pracujúci dôhodcovia,166
679,Nitriansky kraj,Okres Šaľa,Ženy,vypomáhajúci v rod. podniku,26
680,Nitriansky kraj,Okres Šaľa,Ženy,nezamestnaní,2949
681,Nitriansky kraj,Okres Šaľa,Ženy,iné,8596
682,Nitriansky kraj,Okres Šaľa,Muži,dôchodca,3809
683,Nitriansky kraj,Okres Šaľa,Muži,nezávislí,286
684,Nitriansky kraj,Okres Šaľa,Muži,deti a žiaci ZŠ,5375
685,Nitriansky kraj,Okres Šaľa,Muži,žiak z učilíšť,342
686,Nitriansky kraj,Okres Šaľa,Muži,žiak strednej školy,665
687,Nitriansky kraj,Okres Šaľa,Muži,študent vysokej školy,379
688,Nitriansky kraj,Okres Šaľa,Muži,nezistené,317
689,Nitriansky kraj,Okres Šaľa,Ženy,dôchodca,6519
690,Nitriansky kraj,Okres Šaľa,Ženy,nezávislí,189
691,Nitriansky kraj,Okres Šaľa,Ženy,deti a žiaci ZŠ,5170
692,Nitriansky kraj,Okres Šaľa,Ženy,žiak z učilíšť,167
693,Nitriansky kraj,Okres Šaľa,Ženy,žiak strednej školy,827
694,Nitriansky kraj,Okres Šaľa,Ženy,študent vysokej školy,441
695,Nitriansky kraj,Okres Šaľa,Ženy,nezistené,1337
696,Nitriansky kraj,Okres Topoľčany,Muži,na materskej dovolenke,34
697,Nitriansky kraj,Okres Topoľčany,Muži,pracujúci dôhodcovia,174
698,Nitriansky kraj,Okres Topoľčany,Muži,vypomáhajúci v rod. podniku,5
699,Nitriansky kraj,Okres Topoľčany,Muži,nezamestnaní,4785
700,Nitriansky kraj,Okres Topoľčany,Muži,iné,15021
701,Nitriansky kraj,Okres Topoľčany,Ženy,na materskej dovolenke,1938
702,Nitriansky kraj,Okres Topoľčany,Ženy,pracujúci dôhodcovia,223
703,Nitriansky kraj,Okres Topoľčany,Ženy,vypomáhajúci v rod. podniku,29
704,Nitriansky kraj,Okres Topoľčany,Ženy,nezamestnaní,3030
705,Nitriansky kraj,Okres Topoľčany,Ženy,iné,12612
706,Nitriansky kraj,Okres Topoľčany,Muži,dôchodca,5611
707,Nitriansky kraj,Okres Topoľčany,Muži,nezávislí,667
708,Nitriansky kraj,Okres Topoľčany,Muži,deti a žiaci ZŠ,7203
709,Nitriansky kraj,Okres Topoľčany,Muži,žiak z učilíšť,586
710,Nitriansky kraj,Okres Topoľčany,Muži,žiak strednej školy,917
711,Nitriansky kraj,Okres Topoľčany,Muži,študent vysokej školy,601
712,Nitriansky kraj,Okres Topoľčany,Muži,nezistené,665
713,Nitriansky kraj,Okres Topoľčany,Ženy,dôchodca,9734
714,Nitriansky kraj,Okres Topoľčany,Ženy,nezávislí,387
715,Nitriansky kraj,Okres Topoľčany,Ženy,deti a žiaci ZŠ,6854
716,Nitriansky kraj,Okres Topoľčany,Ženy,žiak z učilíšť,307
717,Nitriansky kraj,Okres Topoľčany,Ženy,žiak strednej školy,1218
718,Nitriansky kraj,Okres Topoľčany,Ženy,študent vysokej školy,634
719,Nitriansky kraj,Okres Topoľčany,Ženy,nezistené,854
720,Nitriansky kraj,Okres Zlaté Moravce,Muži,na materskej dovolenke,9
721,Nitriansky kraj,Okres Zlaté Moravce,Muži,pracujúci dôhodcovia,91
722,Nitriansky kraj,Okres Zlaté Moravce,Muži,vypomáhajúci v rod. podniku,4
723,Nitriansky kraj,Okres Zlaté Moravce,Muži,nezamestnaní,2990
724,Nitriansky kraj,Okres Zlaté Moravce,Muži,iné,8372
725,Nitriansky kraj,Okres Zlaté Moravce,Ženy,na materskej dovolenke,962
726,Nitriansky kraj,Okres Zlaté Moravce,Ženy,pracujúci dôhodcovia,134
727,Nitriansky kraj,Okres Zlaté Moravce,Ženy,vypomáhajúci v rod. podniku,9
728,Nitriansky kraj,Okres Zlaté Moravce,Ženy,nezamestnaní,2562
729,Nitriansky kraj,Okres Zlaté Moravce,Ženy,iné,6238
730,Nitriansky kraj,Okres Zlaté Moravce,Muži,dôchodca,3538
731,Nitriansky kraj,Okres Zlaté Moravce,Muži,nezávislí,240
732,Nitriansky kraj,Okres Zlaté Moravce,Muži,deti a žiaci ZŠ,4419
733,Nitriansky kraj,Okres Zlaté Moravce,Muži,žiak z učilíšť,272
734,Nitriansky kraj,Okres Zlaté Moravce,Muži,žiak strednej školy,520
735,Nitriansky kraj,Okres Zlaté Moravce,Muži,študent vysokej školy,319
736,Nitriansky kraj,Okres Zlaté Moravce,Muži,nezistené,367
737,Nitriansky kraj,Okres Zlaté Moravce,Ženy,dôchodca,6431
738,Nitriansky kraj,Okres Zlaté Moravce,Ženy,nezávislí,128
